Year,Number,Name,Purpose,Address,Landcat,Area,Cd,Cu,As,Hg,Pb,Cr_six,Zn,Ni,F,Organicp,PCBS,CN,Penole,Benzen,Toluen, Ethylbenzene,Xylene,TPH,TCE,PCE,Benzoapyrene,pH,XX,YY,X,Y
2010,TONA08,동구신무,없음,대구시 동구 신무동 산116,임야,131804,2.34,32.5,7.29,0,26.5,0,117.8,12.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,128.66,35.999,1104559.852,1778655.175
2010,PSNA21,기장철마,없음,부산시 기장군 철마면 와여리 253-1(면사무소 앞),전,3017,0,35.3,0.18,0,8,0,54.7,44,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,129.148,35.28,1149835.241,1699526.615
2010,PCNA11,기장NA부산,없음,부산시 기장군 철마면 고촌리 160-1(국도14호선),도로,2007,0.21,13.6,1.24,0.02,14.5,0,59.2,3.1,106,NA,NA,0,NA,0,0,0,0,64,NA,NA,NA,7.5,129.168,35.236,1151741.842,1694624.985
2010,TANA10,동인초등,없음,대구시 중구 동인동4가 388,학교용지,17178,1.72,12.6,2.13,0,48.9,0,65.7,6.3,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,128.61,35.868,1100222.615,1764038.329
2010,TUNA08,경상감영,없음,대구시 중구 포정동 21,공원,13814,1.85,26.4,9.6,0.03,26.4,0,109.3,17.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,128.592,35.872,1098596.592,1764513.645
2010,TFNA01,동구방촌1,없음,대구시 동구 방촌동 1084-3,하천부지,13626,2.44,30.7,11.69,0.03,31.1,0,109,21.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,128.662,35.876,1104872.168,1765023.044
2010,TUNA03,망우공원,없음,대구시 동구 효목동 234-34,공원,76179,2.41,34.9,17.87,0.04,40.1,0,85.1,18.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,128.648,35.881,1103602.43,1765586.907
2010,TENA01,대구공항,없음,대구시 동구 지저동 247,잡종지,121468,2.07,26.1,14.32,0.02,35.6,0,91.5,20.3,127,NA,0,0,0,0,0,0,0,46,0,0,NA,6.6,128.642,35.903,1103082.982,1768025.432
2010,TUNA01,앞산공원,없음,대구시 남구 대명동 산227-1,공원,16952371,1.48,18.9,2.43,0,11.7,0,78,10.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,128.583,35.82,1097792.195,1758710.789
2010,TANA04,동촌초등,없음,대구시 동구 방촌동 1047,학교용지,18243,1.94,13.9,5.45,0,38.6,0,68.5,12.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,128.658,35.883,1104553.314,1765730.461
2010,TDNA01,동구신암,없음,대구시 동구 신암4동 294,철도용지,135113,2.89,47.2,30.66,0.02,41.4,0,108.3,37.4,386,NA,NA,0,NA,0,0,0,0,31,NA,NA,NA,7.1,128.629,35.879,1101899.743,1765323.348
2010,TKNA04,동구방촌,없음,대구시 동구 방촌동 1084-30,대지,61438,1.73,17.8,5.47,0,34,0,150.8,10.2,93,NA,NA,0.1,NA,0,0,0,0,0,NA,NA,NA,6.7,128.666,35.876,1105251.484,1765037.502
2010,TANA07,중리초등,없음,대구시 서구 이현동 48-60,학교용지,13376,1.66,21,10.15,0,77,0,63.9,13.9,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,128.545,35.869,1094372.362,1764159.768
2010,TGNA01,동구도학,없음,대구시 동구 도학동 산1,체육용지,867100,1.78,20.2,13.4,0.02,27.7,0,66.1,14.5,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,128.722,35.997,1110166.488,1778439.74
2010,TKNA11,남구봉덕,없음,대구시 남구 봉덕동 1071,대지,51822,1.98,43.6,9.35,0.1,59.4,0,192.4,19.5,263,NA,NA,0.1,NA,0,0,0,0,104,NA,NA,NA,6.7,128.602,35.837,1099537.541,1760637.577
2010,TPNA39,서대구공단1,없음,대구시 서구 중리동 1082,공장용지,5584,1.53,18.1,8.11,0.04,28.4,0,86.4,14.8,283,NA,0,0,0,0,0.1,0,0,86,0,0,NA,7.1,128.544,35.867,1094254.251,1763936.931
2010,TKNA12,서구평리,없음,대구시 서구 평리동 1411-1,대지,4050,2.42,110,14.41,0.04,50.7,0,274.6,24.8,297,NA,NA,0.1,NA,0,0,0,0,0,NA,NA,NA,7.6,128.555,35.866,1095209.24,1763802.27
2010,TANA05,삼영초등,없음,대구시 북구 노원3가 262,학교용지,16862,2.09,18.7,1.62,0,69.6,0,95,12.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,128.564,35.893,1096000.108,1766832.859
2010,TGNA07,수성내환,없음,대구시 수성구 내환동 504,체육용지,13359,2.15,9,2.48,0,17.6,0,95.1,11.5,NA,0,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,128.661,35.834,1104868.934,1760355.545
